,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest23152,香港專業教育學院 [李惠利] (學生飯堂),Hong Kong Institute of Vocational Education(Lee Wai Lee) Student canteen,,,14.0,Tseung Kwan O,51.0,港式,0,0,0
rest23153,High Street Grill,,3.5,53.0,5064.0,Sai Wan,101.0,美國菜,30,11,4
rest23154,爭鮮外帶壽司,Sushi Take-Out,3.0,15.0,106.0,Kwun Tong,50.0,日本菜,5,5,2
rest23155,樂園茶餐廳,,,,36.0,Yuen long,50.0,港式,0,1,0
rest23156,立鮨,Sushi Tachi,4.0,288.0,6183.0,Mong Kok,101.0,日本菜,223,25,10
rest23157,阿芳上海餛飩,Ah Fong Shanghai Wonton,3.5,60.0,1103.0,Hung Hom,50.0,滬菜,46,6,5
rest23158,珍苑麵家,,4.0,56.0,1350.0,Sheung Shui,50.0,港式,40,6,1
rest23159,八方雲集鍋貼水餃專門店 (協和街),Bafang Dumpling (協和街),3.5,3.0,282.0,Kwun Tong,50.0,台灣菜,2,1,0
rest23160,水鄉茶寮,,,,40.0,Tai O,50.0,港式,2,0,0
rest23161,貴寶號,,4.5,17.0,161.0,Kwun Tong,50.0,粵菜,10,1,1
rest23162,炳記麵家,Ping kee restaurant,3.5,5.0,15.0,Aberdeen,50.0,港式,4,1,0
rest23163,Fish N Chill,,,,26.0,Sai Wan,51.0,英國菜,0,0,0
rest23164,三月櫻,March Sakura,,,154.0,Sai Wan,50.0,日本菜,0,0,0
rest23165,I Café,,4.0,175.0,3980.0,Tsim Sha Tsui,50.0,西式,137,12,8
rest23166,Charcoal,,,,1032.0,Central,201.0,西式,0,2,0
rest23167,中與志,,3.5,12.0,189.0,Causeway Bay,51.0,日本菜,7,5,0
rest23168,Braza Churrascaria Brazilian Steakhouse,,4.0,76.0,15714.0,Central,201.0,西式,54,11,4
rest23169,明愛白英奇賓館餐廳,,,,29.0,Yau Ma Tei,50.0,西式,1,0,0
rest23170,鴻福堂,Hung Fook Tong,,,19.0,Kowloon City,50.0,粵菜,0,1,0
rest23171,住家菜,Home Food,,,52.0,Mong Kok,50.0,港式,0,0,0
rest23172,加餸,One More Dish,,,38.0,Kwun Tong,51.0,多國菜,1,0,0
rest23173,Chateraise,,,,79.0,Kowloon Bay,50.0,日本菜,1,0,0
rest23174,安泰燒臘家,,3.5,10.0,49.0,Tuen Mun,50.0,港式,8,0,1
rest23175,香葉灣,Fragrant Leaf Bay,3.5,30.0,231.0,Tai Wo,51.0,多國菜,16,3,5
rest23176,越棧越式湯粉專門店,Viet's Choice,3.0,26.0,242.0,Tsuen Wan,51.0,越南菜,5,12,7
rest23177,花斑茶社 (和富道),A Boutea (和富道),4.5,66.0,1028.0,North Point,50.0,台灣菜,49,2,0
rest23178,盛八食堂,Morihachi Kitchen,3.5,52.0,460.0,Wan Chai,50.0,日本菜,29,16,7
rest23179,糧友パン工房,Ryoyu Bakery Studio,3.5,17.0,238.0,Tseung Kwan O,50.0,日本菜,9,6,0
rest23180,老上海飯店,Hong Kong Lao Shang Hai Restaurant,3.5,201.0,7088.0,Wan Chai,201.0,滬菜,142,33,11
rest23181,幸福駅,Sweet Bandott,,,35.0,Kwun Tong,50.0,日本菜,1,0,0
rest23182,金記冰室,Kam Kee Cafe,,,26.0,Chek Lap Kok,51.0,港式,1,0,0
rest23183,旺角咖喱屋,Miss India,2.5,30.0,314.0,Mong Kok,51.0,印度菜,7,6,12
rest23184,麵屋武藏武骨,MENYA MUSASHI,,,55.0,Tseung Kwan O,51.0,日本菜,1,0,0
rest23185,來德好蝦麵廚房,,4.0,14.0,991.0,Sai Kung,101.0,新加坡菜,10,1,1
rest23186,金御海鮮酒家,Majesty Chinese Restaurant,3.5,39.0,698.0,Mong Kok,101.0,粵菜,18,10,6
rest23187,孖發冰室,,3.5,8.0,69.0,Peng Chau,50.0,港式,5,3,0
rest23188,V.g. Bar,,,,12.0,Tsim Sha Tsui,51.0,港式,0,0,0
rest23189,永隆粥品店,,3.5,11.0,126.0,Cheung Sha Wan,50.0,港式,5,3,1
rest23190,名門讌客,Wealth Banquet,3.0,47.0,383.0,Yuen long,101.0,粵菜,15,17,4
rest23191,米記,Mileson,3.5,27.0,725.0,Jordan,101.0,西式,14,4,5
rest23192,爭鮮迴轉壽司,Sushi Express,3.5,18.0,216.0,Tuen Mun,51.0,日本菜,7,4,2
rest23193,茶藝樂園,,,,15.0,Central,101.0,港式,0,0,0
rest23194,坐忘,Camper's,4.0,338.0,17030.0,Quarry Bay,51.0,日本菜,247,39,9
rest23195,Good One Sushi 壽司刺身專門店,,3.5,15.0,254.0,Shum Shui Po,50.0,日本菜,8,1,4
