,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest5122,米走雞Live,Running Chicken Live,4.0,472.0,22662.0,Kwun Tong,101.0,港式,"3/F, The Wave, 4 Hing Yip Street, Kwun Tong",384,24,17
rest5123,Bold Italic,,3.5,150.0,6352.0,Kwun Tong,101.0,西式,"Room P, 3/F, Camel Paint Buildng Block 3, 60 Hoi Yuen Road, Kwun Tong",85,32,18
rest5124,奇妙居,,,,10.0,Kwun Tong,50.0,港式,"Shop 12, M.C.BOX, G/F, Po Tat Shopping Centre, 2 Po Lam Road, Sau Mau Ping, Kwun Tong",0,0,0
rest5125,八方雲集鍋貼水餃專門店,Bafang Dumpling,3.0,10.0,248.0,Sai Wan,50.0,台灣菜,"G/F., 127 Belcher's Street, Western District",2,5,0
rest5126,喜萬年酒樓,Asiania Restaurant,3.0,73.0,240.0,Wan Chai,51.0,粵菜,"1/F, Asian House, 1 Hennessy Road, Wan Chai",36,17,12
rest5127,小四川,,4.0,9.0,347.0,Wong Tai Sin,51.0,川菜,"G/F, 33 Fei Fung Street, Wong Tai Sin",5,2,0
rest5128,《玖 瓏》,Kowloon Cookies & Tea,,,1.0,Yau Ma Tei,51.0,港式,"5/F, Tung Nam Lou Art Hotel, 68 Portland Street, Yau Ma Tei",0,0,0
rest5129,高興環球美食有限公司,Happy Fine Food International Limited,,,17.0,Kowloon Bay,101.0,日本菜,"Unit 625, 6/F, Nan Fung Commercial Centre, 19 Lam Lok Street, Kowloon Bay",0,0,0
rest5130,COVA Ristorante & Caffe (東薈城),,4.0,12.0,343.0,Tung Chung,201.0,西式,"Shop 260, 2/F, Citygate Outlets, 18-20 Tat Tung Road, Tung Chung",7,2,0
rest5131,榮式燒雞扒專門店,Wing's Catering,3.5,9.0,290.0,Kwai Fong,51.0,港式,"Shop 19, G/F, Kwai Fong Plaza, 177 Hing Fong Road, Kwai Fong",3,3,0
rest5132,包任你點,Bao Yam Li Dim,3.0,7.0,72.0,Kwai Chung,50.0,粵菜,"Shop 41F, G/F, Kwai Lai Building, 29-45 Shek Yam Road, Kwai Chung",2,1,0
rest5133,櫻島麵包餅店,Sakurashima Bakery,3.5,18.0,46.0,Tsuen Wan,50.0,港式,"G/F, Shing On Building, 44 Ham Tin Street, Tsuen Wan",10,3,4
rest5134,海饌 - 海鮮牛扒餐廳,Coast Seafood & Grill,3.5,78.0,3863.0,Causeway Bay,201.0,西式,"Shops C&D, G/F, Florida Mansion, Food Street, 9-11 Cleveland Street, Causeway Bay",45,17,6
rest5135,媽咪雞蛋仔,Mammy Pancake,4.0,77.0,843.0,Sheung Wan,50.0,港式,"G/F, 32 Bonham Strand, Sheung Wan",50,9,3
rest5136,翡翠餐廳,Jade Cafe,3.0,23.0,350.0,Kwun Tong,50.0,粵菜,"Shop 1, G/F, MG Tower, 133 Hoi Bun Road, Kwun Tong",6,8,2
rest5137,太平洋咖啡,Pacific Coffee,,,33.0,Wan Chai,50.0,美國菜,"G/F, Hotel Bonaparte by Rhombus, 11 Morrison Hill Road, Wan Chai",1,1,0
rest5138,西記粥粉麵飯,,4.0,13.0,132.0,Mong Kok,51.0,港式,"G/F, 198 Portland Street, Mong Kok",10,1,1
rest5139,喜悅味道,,,,193.0,Tsuen Wan,50.0,台灣菜,"Donut Village, 1/F, Discovery Park, 398 Castle Peak Road - Tsuen Wan, Tsuen Wan",0,0,0
rest5140,Gorkha Palace Restaurant & Bar,,,,20.0,Tsim Sha Tsui,51.0,印度菜,"Shop 101 & 101B, G/F,  Chung King Mansions, 36-44 Nathan Road, Tsim Sha Tsui",0,0,0
rest5141,Bingaz Street Food,,,,23.0,Causeway Bay,101.0,多國菜,"8/F, Zing Building, 38 Yiu Wah Street, Causeway Bay",0,0,0
rest5142,許留山,Hui Lau Shan,3.5,12.0,150.0,Tsing Yi,50.0,港式,"Shop 174, 1/F, Maritime Square, 33 Tsing King Road, Tsing Yi",2,5,2
rest5143,赤柱酒家,Toby Inn Chinese Restaurant,3.5,15.0,296.0,Stanley ,51.0,粵菜,"Shop U1 & U2, UG, 126 Stanley Main Street, Stanley",7,7,1
rest5144,炳記麵家,Ping Kee Restaurant,3.5,4.0,103.0,Aberdeen,50.0,港式,"Shop D, G/F, Ever Secure Mansion, 21-25 Ka Wo Street, Tin Wan, Aberdeen",2,0,0
rest5145,四季餐廳,Seasons Cafe,3.0,27.0,153.0,Kwai Chung,50.0,港式,"Shop 108, 1/F, Kwai Chung Shopping Centre, Kwai Chung",6,4,7
rest5146,新漢記飯店,Sun Hon Kee Restaurant,3.5,93.0,2635.0,Fan Ling,51.0,客家菜,"5 Luen Wo Road, Fanling",53,14,12
rest5147,Club Bodega,,,,213.0,Tsim Sha Tsui,101.0,西式,"Shop 111A, 1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",0,0,0
rest5148,大家樂,Café de Coral,3.0,18.0,41.0,Tai Po,50.0,港式,"Shop P105, Kwong Fuk Commercial Centre, 28 Plover Cove Road, Tai Po",4,10,1
rest5149,Cova Pasticceria & Confetteria,,4.0,7.0,290.0,Yuen long,51.0,西式,"Shop 1005A, 1/F, YOHO Mall 1, 9 Yuen Lung Street, Yuen Long",5,1,0
rest5150,Season Plus,,4.0,466.0,12223.0,Tsim Sha Tsui,101.0,西式,"Shop A&E, G/F, Block 1, Universal Mansion, 52 Hillwood Road, Tsim Sha Tsui",401,19,18
rest5151,味味佳餐廳,,3.0,35.0,175.0,Mei Foo,50.0,港式,"G/F, 21 Glee Path, Mei Foo Sun Chuen Stage 2, Mei Foo",12,12,6
rest5152,松谷烘焙食品有限公司,Choco Bakery Limited,4.0,5.0,43.0,Lai Chi Kok,51.0,多國菜,"Shop A, 8/F, Hang Cheong Factory Building, 1 Wing Ming Street, Lai Chi Kok",5,0,0
rest5153,裕一品四川雲南米線,,4.0,51.0,770.0,Cheung Sha Wan,50.0,滇菜,"G/F, 267 Castle Peak Road, Cheung Sha Wan",29,11,2
rest5154,Brass Spoon,,3.5,97.0,10703.0,Wan Chai,101.0,越南菜,"Shop B, G/F, 1 Moon Street, Wan Chai",58,20,9
rest5155,漁牧,Fisher & Farmer,3.5,144.0,3595.0,Kowloon Bay,101.0,川菜,"Shop 5, 13/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",82,21,14
rest5156,7-Eleven Daily Cafe,,,,4.0,Tsuen Wan,50.0,港式,"Shop 5-7, G/F, Commercial Centre, Clague Garden Estate, 28 Hoi Shing Road, Tsuen Wan",1,0,0
rest5157,如心南灣海景酒店宴會廳,L'hotel Island South VIP Room,4.5,6.0,414.0,Aberdeen,401.0,多國菜,"L'hotel Island South, 55 Wong Chuk Hang Road, Aberdeen",6,0,0
rest5158,大班麵包西餅,Taipan Bread & Cakes,3.5,4.0,75.0,Mong Kok,50.0,西式,"Shop B, G/F, 33-35 Fife Street, Mong Kok",1,1,0
rest5159,Bound by Hillywood,,4.0,14.0,3312.0,Prince Edward,51.0,西式,"G/F, 32 Boundary Street, Prince Edward",10,2,0
rest5160,鴻發小食,Hung Fat Snack,,,3.0,Yuen long,50.0,港式,"Shop B, G/F, Longfield Centre, 129-131 Castle Peak Road, Yuen Long",1,0,0
rest5161,津津滋味坊,,,,3.0,Fo Tan,50.0,港式,"G/F, Wah Yiu Industrial Centre, 30-32 Au Pui Wan Street, Fo Tan",0,0,0
rest5162,果醬二三事,Jam Story handmade jam by Jooove Life,,,245.0,Kwai Chung,51.0,西式,"Room 16A, 24/F, Well Fung Industrial Center, 68 Ta Chuen Ping Street, Kwai Chung",1,0,0
rest5163,友膳方,Friendly Corner,3.5,19.0,440.0,Sai Wan,50.0,粵菜,"G/F, No.306 Queen's Road West, Sai Ying Pun, Western District",8,6,1
rest5164,Itamama (健威坊),,4.0,5.0,483.0,North Point,51.0,港式,"Shop U26, UG/F, Fitfort, 560 King's Road, North Point",4,0,0
rest5165,傷心酸辣粉,,3.0,70.0,950.0,Prince Edward,50.0,川菜,"G/F, 234 Sai Yeung Choi Street South, Prince Edward",25,24,13
rest5166,華南冰室,,3.5,47.0,887.0,Shum Shui Po,50.0,港式,"G/F, 87 Kweilin Street, Sham Shui Po",23,17,6
rest5167,圓美家,Perfect Plus,4.5,4.0,73.0,Lam Tin,50.0,多國菜,"Shop 50B, 3/F, Sceneway Plaza, 8 Sceneway Road, Lam Tin",1,0,0
rest5168,Crazy Cow Cafe,,4.0,8.0,278.0,Sai Kung,50.0,西式,"Shop 2, G/F, Centro, 1A Chui Tong Road, Sai Kung",7,1,0
rest5169,李兆基商學大樓餐廳,LSK Business Building Restaurant,,,18.0,Sai Kung,50.0,港式,"G/F, Lee Shau Kee Business Building, LSK Campus, Hong Kong University of Science and Technology, Clear Water Bay, Sai Kung",0,0,0
